SigmaNoise,TrialNumber,Seed,Mode,SearchMethod,Hit,NumCrossingsToTarget,NumAcceptedCrossings,NumRejectedCrossings,PhysicalTime,NumRk4Steps,SelectedPInitial,SelectedPFinal,SelectedPValues,InitialSearchPerformed,InitialSearchFound,InitialSearchMethod,InitialSearchSelectedP,InitialSearchHorizon,NumSearchEvaluations,NumCompleteBisectionSearches,NumRetargetingEvents,NumRetargetingFailures,RetargetingCrossingIndices,RetargetingStepIndices,RetargetingTimes,RetargetingSearchMethods,RetargetingSelectedP,RetargetStepInterval,RetargetCadencePolicy,CadenceRatio,FinalTargetError,FinalStateX,FinalStateY,FinalStateZ,IntegrationFailed,StepBudgetExhausted,AcceptedCrossingLimitExhausted,RejectedCrossingLimitExhausted,FailureReason,ComputationalTime
0,1,192001,paperCycleCadenceRetargetMode,shinbrotPaperBisection,1,3,3,5,6.09861910172454,6099,0.0865456722676754,0.0865544617176056,0.0865456722677;0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1,1,shinbrotPaperBisection,0.0865456722676754,3,5,5,4,0,1;2;2;2,1519;3038;4557;6076,1.519;3.038;4.557;6.076,shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection,0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1519,meanReturnCycleMatched,1.00026818778561,9.34919558783776e-05,13.7289065080441,19.560085454541,26.921,0,0,0,0,,9.0921792
0,2,192002,paperCycleCadenceRetargetMode,shinbrotPaperBisection,1,3,3,5,6.09861910172454,6099,0.0865456722676754,0.0865544617176056,0.0865456722677;0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1,1,shinbrotPaperBisection,0.0865456722676754,3,5,5,4,0,1;2;2;2,1519;3038;4557;6076,1.519;3.038;4.557;6.076,shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection,0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1519,meanReturnCycleMatched,1.00026818778561,9.34919558783776e-05,13.7289065080441,19.560085454541,26.921,0,0,0,0,,9.3653658
0,3,192003,paperCycleCadenceRetargetMode,shinbrotPaperBisection,1,3,3,5,6.09861910172454,6099,0.0865456722676754,0.0865544617176056,0.0865456722677;0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1,1,shinbrotPaperBisection,0.0865456722676754,3,5,5,4,0,1;2;2;2,1519;3038;4557;6076,1.519;3.038;4.557;6.076,shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection,0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1519,meanReturnCycleMatched,1.00026818778561,9.34919558783776e-05,13.7289065080441,19.560085454541,26.921,0,0,0,0,,10.6711813
0,4,192004,paperCycleCadenceRetargetMode,shinbrotPaperBisection,1,3,3,5,6.09861910172454,6099,0.0865456722676754,0.0865544617176056,0.0865456722677;0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1,1,shinbrotPaperBisection,0.0865456722676754,3,5,5,4,0,1;2;2;2,1519;3038;4557;6076,1.519;3.038;4.557;6.076,shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection,0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1519,meanReturnCycleMatched,1.00026818778561,9.34919558783776e-05,13.7289065080441,19.560085454541,26.921,0,0,0,0,,9.9174349
0,5,192005,paperCycleCadenceRetargetMode,shinbrotPaperBisection,1,3,3,5,6.09861910172454,6099,0.0865456722676754,0.0865544617176056,0.0865456722677;0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1,1,shinbrotPaperBisection,0.0865456722676754,3,5,5,4,0,1;2;2;2,1519;3038;4557;6076,1.519;3.038;4.557;6.076,shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection,0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1519,meanReturnCycleMatched,1.00026818778561,9.34919558783776e-05,13.7289065080441,19.560085454541,26.921,0,0,0,0,,9.1287669
0,6,192006,paperCycleCadenceRetargetMode,shinbrotPaperBisection,1,3,3,5,6.09861910172454,6099,0.0865456722676754,0.0865544617176056,0.0865456722677;0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1,1,shinbrotPaperBisection,0.0865456722676754,3,5,5,4,0,1;2;2;2,1519;3038;4557;6076,1.519;3.038;4.557;6.076,shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection,0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1519,meanReturnCycleMatched,1.00026818778561,9.34919558783776e-05,13.7289065080441,19.560085454541,26.921,0,0,0,0,,10.6415379
0,7,192007,paperCycleCadenceRetargetMode,shinbrotPaperBisection,1,3,3,5,6.09861910172454,6099,0.0865456722676754,0.0865544617176056,0.0865456722677;0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1,1,shinbrotPaperBisection,0.0865456722676754,3,5,5,4,0,1;2;2;2,1519;3038;4557;6076,1.519;3.038;4.557;6.076,shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection,0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1519,meanReturnCycleMatched,1.00026818778561,9.34919558783776e-05,13.7289065080441,19.560085454541,26.921,0,0,0,0,,9.4564576
0,8,192008,paperCycleCadenceRetargetMode,shinbrotPaperBisection,1,3,3,5,6.09861910172454,6099,0.0865456722676754,0.0865544617176056,0.0865456722677;0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1,1,shinbrotPaperBisection,0.0865456722676754,3,5,5,4,0,1;2;2;2,1519;3038;4557;6076,1.519;3.038;4.557;6.076,shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection,0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1519,meanReturnCycleMatched,1.00026818778561,9.34919558783776e-05,13.7289065080441,19.560085454541,26.921,0,0,0,0,,10.3094112
0,9,192009,paperCycleCadenceRetargetMode,shinbrotPaperBisection,1,3,3,5,6.09861910172454,6099,0.0865456722676754,0.0865544617176056,0.0865456722677;0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1,1,shinbrotPaperBisection,0.0865456722676754,3,5,5,4,0,1;2;2;2,1519;3038;4557;6076,1.519;3.038;4.557;6.076,shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection,0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1519,meanReturnCycleMatched,1.00026818778561,9.34919558783776e-05,13.7289065080441,19.560085454541,26.921,0,0,0,0,,4.7671757
0,10,192010,paperCycleCadenceRetargetMode,shinbrotPaperBisection,1,3,3,5,6.09861910172454,6099,0.0865456722676754,0.0865544617176056,0.0865456722677;0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1,1,shinbrotPaperBisection,0.0865456722676754,3,5,5,4,0,1;2;2;2,1519;3038;4557;6076,1.519;3.038;4.557;6.076,shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection;shinbrotPaperBisection,0.0865457624197;0.0865456283092;0.0865455567837;0.0865544617176,1519,meanReturnCycleMatched,1.00026818778561,9.34919558783776e-05,13.7289065080441,19.560085454541,26.921,0,0,0,0,,4.7356053
